PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone,Age*Class
207,0,3,0,1,2,0,1,0,3
208,1,3,0,1,2,1,1,1,3
209,1,3,1,0,0,2,2,1,0
210,1,1,0,2,2,1,1,1,2
211,0,3,0,1,0,0,1,1,3
212,1,2,1,2,2,0,2,1,4
213,0,3,0,1,0,0,1,1,3
214,0,2,0,1,1,0,1,1,2
215,0,3,0,1,0,2,1,0,3
216,1,1,1,1,3,1,2,0,1
217,1,3,1,1,1,0,2,1,3
218,0,2,0,2,2,0,1,0,4
219,1,1,1,1,3,1,2,1,1
220,0,2,0,1,1,0,1,1,2
221,1,3,0,0,1,0,1,1,0
222,0,2,0,1,1,0,1,1,2
223,0,3,0,3,1,0,1,1,9
224,0,3,0,1,0,0,1,1,3
225,1,1,0,2,3,0,1,0,2
226,0,3,0,1,1,0,1,1,3
227,1,2,0,1,1,0,1,1,2
228,0,3,0,1,0,0,1,1,3
229,0,2,0,1,1,0,1,1,2
230,0,3,1,1,2,0,2,0,3
231,1,1,1,2,3,0,3,0,2
232,0,3,0,1,0,0,1,1,3
233,0,2,0,3,1,0,1,1,6
234,1,3,1,0,3,0,2,0,0
235,0,2,0,1,1,0,1,1,2
236,0,3,1,1,0,0,2,1,3
237,0,2,0,2,2,0,1,0,4
238,1,2,1,0,2,0,2,0,0
239,0,2,0,1,1,0,1,1,2
240,0,2,0,2,1,0,1,1,4
241,0,3,1,1,2,1,2,0,3
242,1,3,1,1,2,2,2,0,3
243,0,2,0,1,1,0,1,1,2
244,0,3,0,1,0,0,1,1,3
245,0,3,0,1,0,1,1,1,3
246,0,1,0,2,3,2,5,0,2
247,0,3,1,1,0,0,2,1,3
248,1,2,1,1,2,0,3,0,2
249,1,1,0,2,3,0,1,0,2
250,0,2,0,3,2,0,5,0,6
251,0,3,0,1,0,0,1,1,3
252,0,3,1,1,1,0,3,0,3
253,0,1,0,3,2,0,1,1,3
254,0,3,0,1,2,0,1,0,3
255,0,3,1,2,2,0,3,0,6
256,1,3,1,1,2,1,3,0,3
257,1,1,1,2,3,1,3,1,2
258,1,1,1,1,3,0,2,1,1
259,1,1,1,2,3,1,2,1,2
260,1,2,1,3,2,0,3,0,6
261,0,3,0,1,0,2,1,1,3
262,1,3,0,0,3,0,4,0,0
263,0,1,0,3,3,0,1,0,3
264,0,1,0,2,0,0,1,1,2
265,0,3,1,1,0,2,2,1,3
266,0,2,0,2,1,0,1,1,4
267,0,3,0,0,3,0,1,0,0
268,1,3,0,1,0,0,1,0,3
269,1,1,1,3,3,0,3,0,3
270,1,1,1,2,3,0,2,1,2
271,0,1,0,2,2,0,1,1,2
272,1,3,0,1,0,0,1,1,3
273,1,2,1,2,2,0,3,0,4
274,0,1,0,2,2,1,1,0,2
275,1,3,1,1,0,2,2,1,3
276,1,1,1,3,3,0,2,0,3
277,0,3,1,2,0,0,2,1,6
278,0,2,0,1,0,0,1,1,2
279,0,3,0,0,2,2,4,0,0
280,1,3,1,2,2,0,3,0,6
281,0,3,0,65,0,2,1,1,195
282,0,3,0,1,0,0,1,1,3
283,0,3,0,0,1,0,1,1,0
284,1,3,0,1,1,0,1,1,3
285,0,1,0,2,2,0,1,1,2
286,0,3,0,2,1,1,1,1,6
287,1,3,0,1,1,0,1,1,3
288,0,3,0,1,0,0,1,1,3
289,1,2,0,2,1,0,1,1,4
290,1,3,1,1,0,2,2,1,3
291,1,1,1,1,3,0,2,1,1
292,1,1,1,1,3,1,3,0,1
293,0,2,0,2,1,1,1,1,4
294,0,3,1,1,1,0,2,1,3
295,0,3,0,1,0,0,1,1,3
296,0,1,0,2,2,1,1,1,2
297,0,3,0,1,0,1,1,1,3
298,0,1,1,0,3,0,2,0,0
299,1,1,0,2,2,0,1,1,2
300,1,1,1,3,3,1,3,0,3
301,1,3,1,1,0,2,2,1,3
302,1,3,0,1,2,2,1,0,3
303,0,3,0,1,0,0,1,1,3
304,1,2,1,1,1,2,2,1,2
305,0,3,0,1,1,0,1,1,3
306,1,1,0,0,3,0,4,0,0
307,1,1,1,2,3,1,2,1,2
308,1,1,1,1,3,1,3,0,1
309,0,2,0,1,2,1,1,0,2
310,1,1,1,1,3,1,2,1,1
311,1,1,1,1,3,1,2,1,1
312,1,1,1,1,3,1,2,0,1
313,0,2,1,1,2,0,3,0,2
314,0,3,0,1,0,0,1,1,3
315,0,2,0,2,2,0,1,0,4
316,1,3,1,1,0,0,2,1,3
317,1,2,1,1,2,0,3,0,2
318,0,2,0,3,1,0,5,1,6
319,1,1,1,1,3,0,2,0,1
320,1,1,1,2,3,1,3,0,2
321,0,3,0,1,0,0,1,1,3
322,0,3,0,1,0,0,1,1,3
323,1,2,1,1,1,2,2,1,2
324,1,2,1,1,2,0,3,0,2
325,0,3,0,1,3,0,1,0,3
326,1,1,1,2,3,1,2,1,2
327,0,3,0,3,0,0,1,1,9
328,1,2,1,2,1,0,3,1,4
329,1,3,1,1,2,0,3,0,3
330,1,1,1,0,3,1,2,0,0
331,1,3,1,1,2,2,2,0,3
332,0,1,0,2,2,0,1,1,2
333,0,1,0,2,3,0,1,0,2
334,0,3,0,0,2,0,1,0,0
335,1,1,1,2,3,0,3,0,2
336,0,3,0,1,0,0,1,1,3
337,0,1,0,1,3,0,1,0,1
338,1,1,1,2,3,1,2,1,2
339,1,3,0,2,1,0,1,1,6
340,0,1,0,2,3,0,1,1,2
341,1,2,0,0,2,0,4,0,0
342,1,1,1,1,3,0,2,0,1
343,0,2,0,1,1,0,1,1,2
344,0,2,0,1,1,0,1,1,2
345,0,2,0,2,1,0,1,1,4
346,1,2,1,1,1,0,2,1,2
347,1,2,1,2,1,0,2,1,4
348,1,3,1,1,2,0,3,0,3
349,1,3,0,0,2,0,4,0,0
350,0,3,0,2,1,0,1,1,6
351,0,3,0,1,1,0,1,1,3
352,0,1,0,2,3,0,1,1,2
353,0,3,0,0,0,1,1,0,0
354,0,3,0,1,2,0,1,0,3
355,0,3,0,1,0,1,1,1,3
356,0,3,0,1,1,0,1,1,3
357,1,1,1,1,3,0,2,0,1
358,0,2,1,2,1,0,2,1,4
359,1,3,1,1,0,2,2,1,3
360,1,3,1,1,0,2,2,1,3
361,0,3,0,2,2,0,1,0,6
362,0,2,0,1,2,1,1,0,2
363,0,3,1,2,2,1,3,0,6
364,0,3,0,2,0,0,1,1,6
365,0,3,0,1,2,2,1,0,3
366,0,3,0,1,0,0,1,1,3
367,1,1,1,3,3,1,3,0,3
368,1,3,1,1,0,1,3,1,3
369,1,3,1,1,0,2,2,1,3
370,1,1,1,1,3,1,3,1,1
371,1,1,0,1,3,1,1,0,1
372,0,3,0,1,0,0,1,0,3
373,0,3,0,1,1,0,1,1,3
374,0,1,0,1,3,1,1,1,1
375,0,3,1,0,2,0,2,0,0
376,1,1,1,2,3,1,3,0,2
377,1,3,1,1,0,0,2,1,3
378,0,1,0,1,3,1,1,0,1
379,0,3,0,1,0,1,1,1,3
380,0,3,0,1,0,0,1,1,3
381,1,1,1,2,3,1,2,1,2
382,1,3,1,0,2,1,2,0,0
383,0,3,0,1,1,0,1,1,3
384,1,1,1,2,3,0,3,0,2
385,0,3,0,1,0,0,1,1,3
386,0,2,0,1,3,0,1,1,2
387,0,3,0,0,3,0,4,0,0
388,1,2,1,2,1,0,2,1,4
389,0,3,0,1,0,2,1,1,3
390,1,2,1,1,1,1,2,1,2
391,1,1,0,2,3,0,1,0,2
392,1,3,0,1,0,0,1,1,3
393,0,3,0,1,1,0,1,0,3
394,1,1,1,1,3,1,2,0,1
395,1,3,1,1,2,0,3,0,3
396,0,3,0,1,0,0,1,1,3
397,0,3,1,1,0,0,2,1,3
398,0,2,0,2,2,0,1,1,4
399,0,2,0,1,1,0,5,1,2
400,1,2,1,1,1,0,3,1,2
401,1,3,0,2,1,0,1,1,6
402,0,3,0,1,1,0,1,1,3
403,0,3,1,1,1,0,2,0,3
404,0,3,0,1,2,0,1,0,3
405,0,3,1,1,1,0,2,1,3
406,0,2,0,2,2,0,1,0,4
407,0,3,0,3,0,0,1,1,9
408,1,2,0,0,2,0,4,0,0
409,0,3,0,1,0,0,1,1,3
410,0,3,1,1,2,0,2,0,3
411,0,3,0,1,0,0,1,1,3
412,0,3,0,1,0,2,1,1,3
413,1,1,1,2,3,2,2,0,2
414,0,2,0,1,0,0,1,1,2
415,1,3,0,2,1,0,1,1,6
416,0,3,1,1,1,0,3,1,3
417,1,2,1,2,3,0,3,0,4
418,1,2,1,1,1,0,2,0,2
419,0,2,0,1,1,0,1,1,2
420,0,3,1,0,2,0,2,0,0
421,0,3,0,1,0,1,1,1,3
422,0,3,0,1,0,2,1,1,3
423,0,3,0,1,0,0,1,1,3
424,0,3,1,1,1,0,3,0,3
425,0,3,0,1,2,0,1,0,3
426,0,3,0,1,0,0,1,1,3
427,1,2,1,1,2,0,3,0,2
428,1,2,1,1,2,0,2,1,2
429,0,3,0,1,0,2,1,1,3
430,1,3,0,1,1,0,1,1,3
431,1,1,0,1,2,0,1,1,1
432,1,3,1,1,2,0,3,0,3
433,1,2,1,2,2,0,3,0,4
434,0,3,0,1,0,0,1,1,3
435,0,1,0,3,3,0,1,0,3
436,1,1,1,0,3,0,2,0,0
437,0,3,1,1,3,0,2,0,3
438,1,2,1,1,2,0,3,0,2
439,0,1,0,3,3,0,1,0,3
440,0,2,0,1,1,0,1,1,2
441,1,2,1,2,2,0,3,0,4
442,0,3,0,1,1,0,1,1,3
443,0,3,0,1,0,0,1,0,3
444,1,2,1,1,1,0,2,1,2
445,1,3,0,1,1,0,1,1,3
446,1,1,0,0,3,0,4,0,0
447,1,2,1,0,2,0,2,0,0
448,1,1,0,2,2,0,1,1,2
449,1,3,1,0,2,1,2,0,0
450,1,1,0,3,2,0,5,1,3
451,0,2,0,2,2,0,1,0,4
452,0,3,0,1,2,0,1,0,3
453,0,1,0,1,2,1,1,1,1
454,1,1,0,3,3,1,1,0,3
455,0,3,0,1,1,0,1,1,3
456,1,3,0,1,0,1,1,1,3
457,0,1,0,65,2,0,1,1,65
458,1,1,1,2,3,0,3,0,2
459,1,2,1,3,1,0,2,1,6
460,0,3,0,1,0,2,1,1,3
461,1,1,0,2,2,0,1,1,2
462,0,3,0,2,1,0,1,1,6
463,0,1,0,2,3,0,1,1,2
464,0,2,0,2,1,0,1,1,4
465,0,3,0,1,1,0,1,1,3
466,0,3,0,2,0,0,1,1,6
467,0,2,0,1,0,0,1,1,2
468,0,1,0,3,2,0,1,1,3
469,0,3,0,1,0,2,1,1,3
470,1,3,1,0,2,1,2,0,0
471,0,3,0,1,0,0,1,1,3
472,0,3,0,2,1,0,1,1,6
473,1,2,1,2,2,0,3,0,4
474,1,2,1,1,1,1,3,1,2
475,0,3,1,1,1,0,2,1,3
476,0,1,0,2,3,0,1,1,2
477,0,2,0,2,2,0,1,0,4
478,0,3,0,1,0,0,1,0,3
479,0,3,0,1,0,0,1,1,3
480,1,3,1,0,1,0,2,0,0
481,0,3,0,0,3,0,4,0,0
482,0,2,0,1,0,0,1,1,2
483,0,3,0,3,1,0,1,1,9
484,1,3,1,3,1,0,3,1,9
485,1,1,0,1,3,1,1,0,1
486,0,3,1,1,2,0,2,0,3
487,1,1,1,2,3,0,3,0,2
488,0,1,0,3,2,1,1,1,3
489,0,3,0,1,1,0,1,1,3
490,1,3,0,0,2,0,4,0,0
491,0,3,0,1,2,0,1,0,3
492,0,3,0,1,0,0,1,1,3
493,0,1,0,3,2,0,1,1,3
494,0,1,0,71,3,1,1,1,71
495,0,3,0,1,1,0,1,1,3
496,0,3,0,1,2,1,1,1,3
497,1,1,1,3,3,1,2,0,3
498,0,3,0,1,2,0,1,1,3
499,0,1,1,1,3,0,3,0,1
500,0,3,0,1,0,0,1,1,3
501,0,3,0,1,1,0,1,1,3
502,0,3,1,1,0,2,2,1,3
503,0,3,1,1,0,2,2,1,3
504,0,3,1,2,1,0,2,1,6
505,1,1,1,0,3,0,2,1,0
506,0,1,0,1,3,1,1,0,1
507,1,2,1,2,2,0,3,0,4
508,1,1,0,2,2,0,1,1,2
509,0,3,0,1,2,0,1,1,3
510,1,3,0,1,3,0,1,1,3
511,1,3,0,1,0,2,1,1,3
512,0,3,0,1,1,0,1,1,3
513,1,1,0,2,2,0,1,1,2
514,1,1,1,3,3,1,3,0,3
515,0,3,0,1,0,0,1,1,3
516,0,1,0,2,3,0,1,1,2
517,1,2,1,2,1,0,3,1,4
518,0,3,0,1,2,2,1,1,3
519,1,2,1,2,2,0,3,0,4
520,0,3,0,1,0,0,1,1,3
521,1,1,1,1,3,0,2,1,1
522,0,3,0,1,0,0,1,1,3
523,0,3,0,1,0,1,1,1,3
524,1,1,1,2,3,1,3,0,2
525,0,3,0,1,0,1,1,1,3
526,0,3,0,2,0,2,1,1,6
527,1,2,1,3,1,0,2,1,6
528,0,1,0,2,3,0,1,1,2
529,0,3,0,2,1,0,1,1,6
530,0,2,0,1,1,0,1,0,2
531,1,2,1,0,2,0,2,0,0
532,0,3,0,1,0,1,1,1,3
533,0,3,0,1,0,1,1,0,3
534,1,3,1,1,2,1,3,0,3
535,0,3,1,1,1,0,2,1,3
536,1,2,1,0,2,0,2,0,0
537,0,1,0,2,2,0,5,1,2
538,1,1,1,1,3,1,2,1,1
539,0,3,0,1,2,0,1,1,3
540,1,1,1,1,3,1,2,0,1
541,1,1,1,2,3,0,2,0,2
542,0,3,1,0,3,0,2,0,0
543,0,3,1,0,3,0,2,0,0
544,1,2,0,1,2,0,1,0,2
545,0,1,0,3,3,1,1,0,3
546,0,1,0,3,2,0,1,1,3
547,1,2,1,1,2,0,3,0,2
548,1,2,0,1,1,1,1,1,2
549,0,3,0,2,2,0,1,0,6
550,1,2,0,0,3,0,4,0,0
551,1,1,0,1,3,1,1,0,1
552,0,2,0,1,2,0,1,1,2
553,0,3,0,1,0,2,1,1,3
554,1,3,0,1,0,1,1,1,3
555,1,3,1,1,0,0,2,1,3
556,0,1,0,3,2,0,1,1,3
557,1,1,1,2,3,1,5,0,2
558,0,1,0,2,3,1,1,1,2
559,1,1,1,2,3,0,3,0,2
560,1,3,1,2,2,0,3,0,6
561,0,3,0,1,0,2,1,1,3
562,0,3,0,2,0,0,1,1,6
563,0,2,0,1,1,0,1,1,2
564,0,3,0,1,1,0,1,1,3
565,0,3,1,1,1,0,2,1,3
566,0,3,0,1,2,0,1,0,3
567,0,3,0,1,0,0,1,1,3
568,0,3,1,1,2,0,3,0,3
569,0,3,0,1,0,1,1,1,3
570,1,3,0,1,0,0,1,1,3
571,1,2,0,3,1,0,1,1,6
572,1,1,1,3,3,0,3,0,3
573,1,1,0,2,2,0,1,1,2
574,1,3,1,1,0,2,2,1,3
575,0,3,0,0,1,0,1,1,0
576,0,3,0,1,2,0,1,1,3
577,1,2,1,2,1,0,2,1,4
578,1,1,1,2,3,0,3,0,2
579,0,3,1,1,2,1,3,0,3
580,1,3,0,1,1,0,1,1,3
581,1,2,1,1,2,0,2,0,2
582,1,1,1,2,3,1,3,0,2
583,0,2,0,3,2,0,1,1,6
584,0,1,0,2,3,1,1,1,2
585,0,3,0,1,1,1,1,1,3
586,1,1,1,1,3,0,2,0,1
587,0,2,0,2,2,0,1,1,4
588,1,1,0,3,3,1,1,0,3
589,0,3,0,1,1,0,1,1,3
590,0,3,0,1,1,0,1,1,3
591,0,3,0,2,0,0,1,1,6
592,1,1,1,3,3,1,3,0,3
593,0,3,0,2,0,0,1,1,6
594,0,3,1,1,0,2,2,0,3
595,0,2,0,2,2,0,1,0,4
596,0,3,0,2,2,0,1,0,6
597,1,2,1,1,3,0,2,1,2
598,0,3,0,3,0,0,1,1,9
599,0,3,0,1,0,1,1,1,3
600,1,1,0,3,3,1,5,0,3
601,1,2,1,1,2,0,3,0,2
602,0,3,0,1,0,0,1,1,3
603,0,1,0,2,3,0,1,1,2
604,0,3,0,2,1,0,1,1,6
605,1,1,0,2,2,1,1,1,2
606,0,3,0,2,2,0,1,0,6
607,0,3,0,1,0,0,1,1,3
608,1,1,0,1,2,0,1,1,1
609,1,2,1,1,3,1,3,0,2
610,1,1,1,2,3,0,2,1,2
611,0,3,1,2,3,0,3,0,6
612,0,3,0,1,0,0,1,1,3
613,1,3,1,1,2,2,2,0,3
614,0,3,0,1,0,2,1,1,3
615,0,3,0,2,1,0,1,1,6
616,1,2,1,1,3,0,2,0,2
617,0,3,0,2,1,0,1,0,6
618,0,3,1,1,2,0,3,0,3
619,1,2,1,0,3,0,2,0,0
620,0,2,0,1,1,0,1,1,2
621,0,3,0,1,2,1,1,0,3
622,1,1,0,2,3,0,1,0,2
623,1,3,0,1,2,1,1,0,3
624,0,3,0,1,0,0,1,1,3
625,0,3,0,1,2,0,1,1,3
626,0,1,0,3,3,0,1,1,3
627,0,2,0,3,1,2,5,1,6
628,1,1,1,1,3,0,2,1,1
629,0,3,0,1,0,0,1,1,3
630,0,3,0,1,0,2,1,1,3
631,1,1,0,80,2,0,1,1,80
632,0,3,0,3,0,0,1,1,9
633,1,1,0,1,2,1,5,1,1
634,0,1,0,2,0,0,1,1,2
635,0,3,1,0,2,0,2,0,0
636,1,2,1,1,1,0,2,1,2
637,0,3,0,1,1,0,1,1,3
638,0,2,0,1,2,0,1,0,2
639,0,3,1,2,3,0,3,0,6
640,0,3,0,1,2,0,1,0,3
641,0,3,0,1,0,0,1,1,3
642,1,1,1,1,3,1,2,1,1
643,0,3,1,0,2,0,2,0,0
644,1,3,0,1,3,0,1,1,3
645,1,3,1,0,2,1,2,0,0
646,1,1,0,2,3,1,1,0,2
647,0,3,0,1,0,0,1,1,3
648,1,1,0,3,3,1,5,1,3
649,0,3,0,1,0,0,1,1,3
650,1,3,1,1,0,0,2,1,3
651,0,3,0,1,0,0,1,1,3
652,1,2,1,1,2,0,2,0,2
653,0,3,0,1,1,0,1,1,3
654,1,3,1,1,0,2,2,1,3
655,0,3,1,1,0,2,2,1,3
656,0,2,0,1,3,0,1,0,2
657,0,3,0,1,0,0,1,1,3
658,0,3,1,1,2,2,3,0,3
659,0,2,0,1,1,0,1,1,2
660,0,1,0,3,3,1,1,0,3
661,1,1,0,3,3,0,5,0,3
662,0,3,0,2,0,1,1,1,6
663,0,1,0,2,2,0,1,1,2
664,0,3,0,2,0,0,1,1,6
665,1,3,0,1,1,0,1,0,3
666,0,2,0,1,3,0,1,0,2
667,0,2,0,1,1,0,1,1,2
668,0,3,0,1,0,0,1,1,3
669,0,3,0,2,1,0,1,1,6
670,1,1,1,2,3,0,3,0,2
671,1,2,1,2,3,0,3,0,4
672,0,1,0,1,3,0,1,0,1
673,0,2,0,70,1,0,1,1,140
674,1,2,0,1,1,0,1,1,2
675,0,2,0,1,0,0,1,1,2
676,0,3,0,1,0,0,1,1,3
677,0,3,0,1,1,0,1,1,3
678,1,3,1,1,1,0,2,1,3
679,0,3,1,2,3,0,3,0,6
680,1,1,0,2,3,1,1,0,2
681,0,3,1,1,1,2,2,1,3
682,1,1,0,1,3,1,1,1,1
683,0,3,0,1,1,0,1,1,3
684,0,3,0,0,3,0,1,0,0
685,0,2,0,3,3,0,1,0,6
686,0,2,0,1,3,1,1,0,2
687,0,3,0,0,3,0,1,0,0
688,0,3,0,1,1,0,1,1,3
689,0,3,0,1,0,0,1,1,3
690,1,1,1,0,3,0,2,0,0
691,1,1,0,1,3,0,1,0,1
692,1,3,1,0,1,1,2,0,0
693,1,3,0,1,3,0,1,1,3
694,0,3,0,1,0,1,1,1,3
695,0,1,0,3,2,0,5,1,3
